Startup Name,Industry Vertical,SubVertical,City  Location,Investors Name,InvestmentnType,Amount in USD,year_funding,month_funding
BYJU’S,Education,E-learning,Bangalore,Tiger Global Management,Private Equity,200000000,2020,1
Shuttl,Transportation,App based shuttle service,Gurugram,Susquehanna Growth Equity,Series C,8048394,2020,1
Mamaearth,eCommerce,Retailer of baby and toddler products,Bangalore,Sequoia Capital India,Series B,18358860,2020,1
https://www.wealthbucket.in/,Finance,Online Investment,Delhi,Vinod Khatumal,Pre-Series A,3000000,2020,1
Fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed/Angel Funding,1800000,2020,1
Pando,Logistics,"Open-market, freight management platform",Chennai,Chiratae Ventures,Series A,9000000,2020,1
Zomato,Hospitality,Online Food Delivery Platform,Gurugram,Ant Financial,Private Equity,150000000,2020,1
Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,6000000,2019,12
CarDekho,eCommerce,Automobile,Gurugram,Ping An Global Voyager Fund,Series D,70000000,2019,12
Dhruva Space,Aerospace,Satellite Communication,Bangalore,"Mumbai Angels, Ravikanth Reddy",Seed/Angel Funding,50000000,2019,12
Rivigo,Technology,Logistics Services and Solutions,Gurugram,"SAIF Partners, Spring Canter Investment Ltd.",Others,20000000,2019,12
Healthians,Food & Beverage,Food Solutions For Corporate,Bangalore,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,12000000,2019,12
Licious,eCommerce,Online Meat And Seafood Ordering Startup,Bangalore,Vertex Growth Fund,Others,30000000,2019,12
Rein Games,Gaming,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Seed/Angel Funding,50000000,2019,12
Lenskart.com,eCommerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Others,231000000,2019,12
Freshworks,Others,Business and customer engagement tools,Chennai,"Sequoia, CapitalG, Accel",Others,150000000,2019,12
Misters,Healthcare,Men's Health and Wellness brand,Gurugram,"Sauce.vc, Rainforest Ventures",Series B,486000,2019,11
Sunstone Eduversity Pvt. Ltd,Education,Elearning,Gurugram,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed/Angel Funding,1500000,2019,11
Healthians,Healthcare,Healthcare services,Gurugram,"DG Daiwa Ventures, DG Incubation",Series B,12000000,2019,11
Aye Finance,Finance,Financial Services To MSMEs,Gurugram,FinTech,Debt Funding,17411265,2019,11
SuperGaming,Gaming,Social gaming platform,Pune,Dream Incubator,Seed/Angel Funding,1300000,2019,11
Clumio,SaaS,Recovery software,Bangalore,"Altimeter Capital, Sutter Hill Ventures",Series C,135000000,2019,11
eBikeGo,Transportation,Electric bike rental,Amritsar,Startup Buddy,Seed/Angel Funding,300000,2019,11
Digital Mall Asia,eCommerce,Virtual e-commerce platform,Delhi,Amour Infrastructure,Seed/Angel Funding,220000000,2019,11
Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,15800000,2019,11
Vogo Automotive,Transportation,Scooter sharing app,Bangalore,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,4000000,2019,11
Paytm,Finance,Mobile Wallet,Noida,Vijay Shekhar Sharma,Private Equity,1000000000,2019,11
Dunzo,Technology,Delivery Service,Bangalore,Lightbox,Series D,45000000,2019,11
FPL Technologies,Finance,Financial Services,Pune,"Matrix Partners India, Sequoia India",Others,4500000,2019,11
Cashflo,Finance,Invoice discounting platform and SME lending marketplace,Mumbai,SAIF Partners,Series A,3300000,2019,10
Digital F5,Marketing,Digital marketing firm,Mumbai,TIW Private Equity,Private Equity,6000000,2019,10
75F,IoT,Building automation system,Bangalore,Breakthrough Energy Ventures,Series A,18000000,2019,9
Myelin Foundry,Technology,Deep-technology,Bangalore,Endiya Partners,Seed/Angel Funding,1000000,2019,9
Atomberg Technology,Technology,"Consumer Electronics, Home Appliances",Mumbai,A91 Partners,Series A,10000000,2019,9
GOQii,Healthcare,Wearable Fitness Bands,Mumbai,Bennett Coleman and Company Ltd (BCCL),Series C,450000000,2019,9
Vyapar App,Accounting,Mobile-based Accounting Software,Bangalore,"India Quotient, Axilor Ventures",Series A,5000000,2019,9
CarDekho,eCommerce,Automotive,Gurugram,SC GG India Mobility Holdings LLC,Series C,20000000,2019,9
Progcap,Finance,Supply Chain Management,Delhi,Sequoia India,Series A,5000000,2019,9
Alteria Capital,Finance,VC Funds,Mumbai,"Azim Premji, Binny Bansal",Others,140000000,2019,9
Pine Labs,Technology,Last-mile retail transaction technology,Noida,Pine Labs Pte Ltd,Others,38080000,2019,9
Meesho,eCommerce,Social Commerce,Bangalore,Naspers,Series D,125000000,2019,8
Cars24,eCommerce,Car Retail,Gurugram,MS Dhoni,Series D,11000000,2019,8
Zendrive,Automobile,Road Safety Analytics,Bangalore,XL Innovate,Series B,37000000,2019,8
Lo! Foods,FMCG,Low carb food for Diabetics,Bangalore,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",Seed/Angel Funding,500000,2019,8
Tala,Finance,Digital Lending Platform,Bangalore,RPS Ventures,Series D,110000000,2019,8
INDwealth,Finance,Wealth Management,Gurugram,Tiger Global Management,Others,15000000,2019,8
HungerBox,Food & Beverage,B2B Foodtech,Bangalore,One97 Communications Ltd.,Series C,6590000,2019,8
AdmitKard,Education,University Admissions,Noida,Growth DNA,Seed/Angel Funding,1000000,2019,8
Grofers,eCommerce,Grocery Delivery,Gurugram,Softbank Vision Fund,Others,70000000,2019,8
Rapido Bike Taxi,Transportation,Bike Taxi,Bangalore,Westbridge Capital,Series B,55000000,2019,8
RenewBuy,Finance,Auto Insurance,Gurugram,"Lok Capital, IIFL Wealth",Series B,19000000,2019,8
Atlan,Technology,Big Data,Delhi,WaterBridge Ventures,Pre-Series A,2500000,2019,8
WizCounsel,Compliance,Consulting,Delhi,Kapil Dev,Seed/Angel Funding,145000,2019,8
Uniphore,Artificial Intelligence,Speech Recognition,Chennai,March Capital Partners,Series C,38080000,2019,8
Daalchini Technologies,Food & Beverage,Digital Vending Machine,Delhi,Artha Venture,Seed/Angel Funding,500000,2019,8
"""BYJU\\'S""",Education,Education,Bangalore,Qatar Investment Authority,Private Equity,150000000,2019,7
Moglix,eCommerce,Industrial Tools and Equipments,Noida,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,60000000,2019,7
Ezyhaul,Technology,Logistics,Bangalore,Undisclosed Investor,Series B,16000000,2019,7
Indus OS,Technology,Smartphone Operating System,Mumbai,Ventureast,Series B,5750000,2019,7
HealthAssure,Healthcare,Primary care medical network,Mumbai,Blume Ventures,Series A,2500000,2019,7
House of Msasaba,Luxury Label,Clothes and Apparel,Mumbai,Binny Bansal,Series A,1000000,2019,7
Board Infinity,Education,Full-stack career platform,Mumbai,Multiple Angel Investors,Seed/Angel Funding,319605,2019,7
NoBroker,eCommerce,Real Estate,Bangalore,General Atlantic,Series C,51000000,2019,7
Bira91,Food & Beverage,Brewery,Delhi,Anicut Capital,Debt Funding,10000000,2019,7
Avail Finance,Finance,FinTech,Bangalore,Matrix Partners,Series A,9000000,2019,7
BharatPe,Finance,FinTech,Delhi,Insight Partners,Series B,75000000,2019,7
Recykal,Waste Management Service,Optimization,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",Pre-Series A,26000000,2019,7
Agara Labs,Deep-Tech,Artificial Intelligence,Bangalore,Blume Ventures and RTP Global,Pre-Series A,2500000,2019,7
Chakr Innovation,Energy,Renewable Energy,Delhi,IAN Fund,Series A,26000000,2019,6
Pratilipi,Media,E-Books,Bangalore,Qiming Venture Partners,Series B,15109500,2019,6
OkCredit,Finance,Financial Services,Gurugram,Tiger Global Management,Series A,15500000,2019,6
Biz2Credit,Finance,Online Lending Platform,Noida,WestBridge Capital,Series B,52000000,2019,6
Vogo Automotive Pvt. Ltd.,Transportation,Dockless Scooter Rental Company,Bangalore,Alteria Capital,Debt Funding,3584000,2019,6
Leegality,Others,Digital Documentation,Bangalore,Mumbai Angels,Series A,3400000,2019,6
BlackBuck,Transportation,Logistics,Bangalore,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",Series D,150000000,2019,6
Zenoti,SaaS,Beauty and Wellness Industry,Hyderabad,Tiger Global Management,Series C,50000000,2019,6
Ather Energy,Automobile,Electric Vehicle,Bangalore,Sachin Bansal,Series C,51000000,2019,6
FreshVnF,Agriculture,Fresh Agriculture Produces,Mumbai,Equanimity Ventures,Seed/Angel Funding,140000000,2019,6
GlowRoad,eCommerce,Retail,Bangalore,"Korea Investment Partners, Vertex Ventures",Series B,11500000,2019,6
Bira91,Food & Beverage,Brewery,Delhi,Sixth Sense Ventures,Series B,5600000,2019,6
Kuvera,Finance,Wealth Management,Bangalore,Eight Roads,Series A,45000000,2019,6
Kabadiwala,eCommerce,Waste Management,Bhopal,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,",Private Equity,430665,2019,5
Azah,Healthcare,Organic wellness,Gurugram,Undisclosed Investor,Seed/Angel Funding,200000,2019,5
Setu,Finance,Banking,Bangalore,Lightspeed India Partners,Seed/Angel Funding,3500000,2019,5
Toppr,Education,E-learning,Mumbai,Milestone,Debt Funding,6320820,2019,5
Craftsvilla,eCommerce,Fashion and Apparel,Mumbai,Supera Pte Ltd,Others,2443495,2019,5
Unacademy,Education,E-learning,Bangalore,Kalyan Krishnamurthy,Seed/Angel Funding,307000,2019,5
CleverTap,SaaS,Mobile analytics and marketing,Mumbai,"Sequoia India, Tiger Global Management, Accel Partners",Series B,26000000,2019,5
